bezirk,criticality,n,median_response_time,hilfsfrist_quote
Charlottenburg-Wilmersdorf,A,24599,651.0,0.1785438432456604
Charlottenburg-Wilmersdorf,B,46454,617.0,0.21419038188315323
Charlottenburg-Wilmersdorf,C,53882,602.0,0.2278497457406926
Charlottenburg-Wilmersdorf,D,33128,542.0,0.327487321902922
Charlottenburg-Wilmersdorf,E,1457,464.0,0.5655456417295813
Charlottenburg-Wilmersdorf,O,481,770.0,0.10602910602910603
Charlottenburg-Wilmersdorf,unbekannt,2605,562.0,0.38080614203454893
Friedrichshain-Kreuzberg,A,20901,616.0,0.2271183196976221
Friedrichshain-Kreuzberg,B,38451,583.0,0.26940781774206135
Friedrichshain-Kreuzberg,C,42386,565.0,0.28641532581512763
Friedrichshain-Kreuzberg,D,28059,507.0,0.4162300866032289
Friedrichshain-Kreuzberg,E,999,434.0,0.6756756756756757
Friedrichshain-Kreuzberg,O,564,736.0,0.1524822695035461
Friedrichshain-Kreuzberg,unbekannt,2189,481.0,0.4997715851987209
Lichtenberg,A,19944,711.0,0.11532290413156839
Lichtenberg,B,36638,686.0,0.12675364375784703
Lichtenberg,C,46977,659.0,0.14613534282734103
Lichtenberg,D,29207,602.0,0.19793200260211594
Lichtenberg,E,1204,524.0,0.35299003322259137
Lichtenberg,O,585,889.0,0.05641025641025641
Lichtenberg,unbekannt,1900,632.0,0.27631578947368424
Marzahn-Hellersdorf,A,17160,705.0,0.10238927738927739
Marzahn-Hellersdorf,B,31902,679.0,0.11726537521158548
Marzahn-Hellersdorf,C,44414,675.0,0.11910658801278876
Marzahn-Hellersdorf,D,28716,612.0,0.16325393508845243
Marzahn-Hellersdorf,E,1272,537.0,0.3238993710691824
Marzahn-Hellersdorf,O,518,792.0,0.06177606177606178
Marzahn-Hellersdorf,unbekannt,1822,648.0,0.23435784851811198
Mitte,A,33736,642.0,0.19249466445340288
Mitte,B,62490,614.0,0.223779804768763
Mitte,C,68666,589.0,0.2497888329012903
Mitte,D,44204,528.0,0.3538820016288119
Mitte,E,1643,452.0,0.6086427267194157
Mitte,O,839,712.0,0.1263408820023838
Mitte,unbekannt,3696,535.0,0.4099025974025974
Neukölln,A,22058,680.0,0.14412004714842688
Neukölln,B,39840,646.0,0.17158634538152612
Neukölln,C,52391,641.0,0.17069725716248974
Neukölln,D,33916,562.0,0.2706981955419271
Neukölln,E,1405,496.0,0.4412811387900356
Neukölln,O,541,784.0,0.11460258780036968
Neukölln,unbekannt,2114,595.0,0.32355723746452225
Pankow,A,22882,689.0,0.12564461148501005
Pankow,B,39580,660.0,0.14588175846387064
Pankow,C,50059,640.0,0.15315927205897042
Pankow,D,30827,582.0,0.21727706231550264
Pankow,E,1307,504.0,0.41009946442234124
Pankow,O,653,782.0,0.10719754977029096
Pankow,unbekannt,1998,603.0,0.30430430430430433
Reinickendorf,A,18976,702.0,0.13048060708263068
Reinickendorf,B,33424,673.0,0.15264480612733367
Reinickendorf,C,45306,662.0,0.15443870569019555
Reinickendorf,D,27822,598.0,0.222845230393214
Reinickendorf,E,1338,512.0,0.40732436472346784
Reinickendorf,O,563,805.0,0.0763765541740675
Reinickendorf,unbekannt,1739,639.0,0.2794709603220242
Spandau,A,17212,666.0,0.15582151986985823
Spandau,B,30670,636.0,0.18017606781871537
Spandau,C,39179,629.0,0.18361877536435336
Spandau,D,24927,575.0,0.2472018293416777
Spandau,E,1078,511.0,0.4007421150278293
Spandau,O,457,756.0,0.0962800875273523
Spandau,unbekannt,1700,608.0,0.3070588235294118
Steglitz-Zehlendorf,A,18532,670.0,0.138301316641485
Steglitz-Zehlendorf,B,33565,647.0,0.1559064501713094
Steglitz-Zehlendorf,C,39823,649.0,0.15292670065037792
Steglitz-Zehlendorf,D,24440,595.0,0.20711947626841243
Steglitz-Zehlendorf,E,1160,518.0,0.3568965517241379
Steglitz-Zehlendorf,O,388,762.0,0.0979381443298969
Steglitz-Zehlendorf,unbekannt,1665,614.0,0.2876876876876877
Tempelhof-Schöneberg,A,23061,656.0,0.166991891071506
Tempelhof-Schöneberg,B,40962,631.0,0.18900444314242468
Tempelhof-Schöneberg,C,51329,606.0,0.21044633637904497
Tempelhof-Schöneberg,D,31418,545.0,0.3053345216118149
Tempelhof-Schöneberg,E,1389,477.0,0.5125989920806335
Tempelhof-Schöneberg,O,604,798.5,0.09768211920529801
Tempelhof-Schöneberg,unbekannt,2211,572.0,0.3514246947082768
Treptow-Köpenick,A,19185,710.0,0.09715923898879333
Treptow-Köpenick,B,34119,683.0,0.1130162079779595
Treptow-Köpenick,C,43389,677.0,0.11774873815944133
Treptow-Köpenick,D,25773,616.0,0.16400884646723315
Treptow-Köpenick,E,1206,548.0,0.27611940298507465
Treptow-Köpenick,O,496,785.5,0.04435483870967742
Treptow-Köpenick,unbekannt,2054,661.0,0.25851996105160663
